Date;Time;Time Zone;Name;Transaction ID;Reference Txn ID;Type;Status;Currency;Gross;Fee;Net;Invoice ID
01/06/2026;13:46:55;GMT;Renée Böhm;YYPAT7FULDP4Z8VDV;;Website Payment;Denied;EUR;9,99;0,00;0,00;ORD-502716
01/06/2026;14:01:27;GMT;Jürgen Müller;Q6VK3GY4R4UQNQR42;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502912
01/06/2026;14:32:41;GMT;Nuño Ibáñez;LWT2NBN63213AZ91G;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502663
01/06/2026;14:50:14;GMT;Agnès Rousseau;8N8BAERCJBQ6G5T1U;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503525
01/06/2026;14:51:13;GMT;Nuño Ibáñez;Z09WTET1B8RFXNJUM;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502720
01/06/2026;15:02:19;GMT;Jürgen Müller;RDZWC95E30PJP1GFV;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503268
01/06/2026;15:27:45;GMT;Nuño Ibáñez;JEK2DPPJSCKX8K5R1;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503470
01/06/2026;15:28:13;GMT;Agnès Rousseau;ZB4KZ4AQ7WHKB2SFF;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502816
01/06/2026;15:36:57;GMT;Agnès Rousseau;M3KLFTG8GDRKY9N3M;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-503050
01/06/2026;15:55:46;GMT;François Dubois;37SEAHGVWVHGP586S;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503309
01/06/2026;16:03:48;GMT;Søren Kjær;9MRDHX4BZJJVKWC3A;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502403
01/06/2026;16:09:48;GMT;Renée Böhm;T2E9Y8VD4FS6FSVYN;;Website Payment;Completed;GBP;4,49;-0,43;4,06;ORD-503741
01/06/2026;16:19:04;GMT;Søren Kjær;6B575P0RQ850WECXG;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502887
01/06/2026;16:35:48;GMT;François Dubois;YB8MUD777Z8D29B5E;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503558
01/06/2026;16:56:34;GMT;Søren Kjær;SFPU1QBF8VEFZ83SP;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-503871
01/06/2026;17:04:36;GMT;José García;28WM9D5UK10LEDKYL;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503249
01/06/2026;17:15:36;GMT;Agnès Rousseau;MMQM7RGSLFHH5ZAPM;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502927
01/06/2026;17:23:10;GMT;José García;8SJKRZQY8E8K2HBYK;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502624
01/06/2026;17:47:19;GMT;Céline Marchand;E3GMX1Y8VD3E3HX1X;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502904
01/06/2026;17:48:18;GMT;José García;5G067Q6S11PPCL3LN;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502967
01/06/2026;17:58:22;GMT;Céline Marchand;DZZK9JL1Z22P0MNQM;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502563
01/06/2026;18:17:17;GMT;María Álvarez;FDTADMN05F0VQKQZE;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502145
01/06/2026;18:22:51;GMT;Søren Kjær;SQSAC0DNKQ12J19P0;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502961
01/06/2026;18:35:54;GMT;François Dubois;EQELJXT6NAVLLSPER;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503580
01/06/2026;18:44:50;GMT;Jürgen Müller;Q1K1SB05FJFAT5SNJ;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-503133
01/06/2026;18:48:04;GMT;Søren Kjær;96M6724UYNN5ZED4C;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503728
01/06/2026;19:09:26;GMT;Émilie Laurent;SV7F4K2C0CYMYZ7WB;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503013
01/06/2026;20:13:33;GMT;Renée Böhm;X58WV0WGD7RTUMDFG;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502391
02/06/2026;07:25:56;GMT;Jürgen Müller;H7EGW22DKY27MZM2V;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503467
02/06/2026;08:01:50;GMT;Renée Böhm;Q169B8U2ETDU2913D;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503323
02/06/2026;08:47:29;GMT;Søren Kjær;CKB4LFZ5T1ALXZ1CS;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503039
02/06/2026;08:50:23;GMT;Nuño Ibáñez;F41TWFSBXXWBY3BAB;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503488
02/06/2026;08:50:47;GMT;María Álvarez;2Q2WVP4RK403QPTA9;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502629
02/06/2026;08:55:07;GMT;Nuño Ibáñez;A15FKW56ZTKQNXWPS;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503038
02/06/2026;08:56:22;GMT;María Álvarez;2LVZR36VQV2FJJ1KR;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503901
02/06/2026;08:59:36;GMT;José García;9QDH64N3230FJ5UJJ;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503625
02/06/2026;09:38:11;GMT;Agnès Rousseau;HBRX04CGE0HA22C62;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-503079
02/06/2026;09:56:59;GMT;Agnès Rousseau;QLC2ZB6QCC6QSRCGR;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502649
02/06/2026;09:59:56;GMT;Jürgen Müller;XQTMXSUYS3DMLWV2K;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503338
02/06/2026;10:28:24;GMT;María Álvarez;FA9RLVFJ89U2CH5WB;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503293
02/06/2026;10:34:02;GMT;Søren Kjær;NAYNZ6U16XQ0N5EL5;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503150
02/06/2026;10:42:23;GMT;Søren Kjær;EAYSL7USYJBDXTMDW;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502372
02/06/2026;10:49:19;GMT;María Álvarez;BF60WVTNV10DDB2Q5;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502137
02/06/2026;10:56:03;GMT;Søren Kjær;WHUBZF9Q9J6Q58MCG;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503394
02/06/2026;11:11:21;GMT;Émilie Laurent;HDDLAJ34E2CPQMZSQ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503319
02/06/2026;11:24:04;GMT;María Álvarez;1VWNKJJ054C3NEPSX;;Website Payment;Denied;GBP;21,99;0,00;0,00;ORD-502959
02/06/2026;11:31:20;GMT;Renée Böhm;C8E7EWQAERDP4X9TL;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503236
02/06/2026;11:42:18;GMT;Nuño Ibáñez;1JEKC1Y4G73FDQ4EE;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-503132
02/06/2026;11:47:18;GMT;Émilie Laurent;W4XZEXTJE5J4NCN6F;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503594
02/06/2026;12:22:58;GMT;Céline Marchand;3DKYQ7Q0K3SS99CJZ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502362
02/06/2026;12:25:34;GMT;Agnès Rousseau;A5UK0FET0G1YK532Z;;Website Payment;Denied;EUR;24,99;0,00;0,00;ORD-502705
02/06/2026;12:35:12;GMT;Agnès Rousseau;WEMP088Y0X6R3HBHQ;;Website Payment;Denied;EUR;9,99;0,00;0,00;ORD-503456
02/06/2026;12:39:55;GMT;Céline Marchand;R2WWPV6PWH6TA1ZLP;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502733
02/06/2026;12:40:39;GMT;José García;857UT34E5YCCHTP4N;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503101
02/06/2026;12:41:50;GMT;Agnès Rousseau;41TMJ2VY4GWJGP4UJ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502463
02/06/2026;12:54:40;GMT;Céline Marchand;5USG46X1WWB3TM5LZ;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503798
02/06/2026;13:01:00;GMT;Émilie Laurent;JMRSLYEQH4NFFSU5Z;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-503693
02/06/2026;13:03:49;GMT;José García;VV08XBBTAUBESJ05U;;Website Payment;Completed;GBP;54,99;-1,89;53,10;ORD-502503
02/06/2026;13:15:09;GMT;Agnès Rousseau;8D0Z2588E4LD5PGSM;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502595
02/06/2026;13:49:30;GMT;Nuño Ibáñez;LHVNT739GZ07V1W28;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502208
02/06/2026;14:05:36;GMT;Émilie Laurent;LJDGGHY4CWJM0MCPA;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503604
02/06/2026;14:05:55;GMT;Agnès Rousseau;DGS8G1Y2L6Y2Y6P3G;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502616
02/06/2026;14:23:50;GMT;Nuño Ibáñez;YMZYJERQ9UNAF5XT4;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502168
02/06/2026;14:24:17;GMT;Céline Marchand;LSE8HAD6K5A58TQ9B;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502279
02/06/2026;14:27:17;GMT;Jürgen Müller;EDHGRGASCPCHVXLQR;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503793
02/06/2026;14:41:26;GMT;Søren Kjær;9GVTQRQYCFSTH31UU;AVD2YUTYBPT1TE596;Refund;Refunded;GBP;-21,99;0,00;-21,99;ORD-503841
02/06/2026;14:58:14;GMT;Renée Böhm;NLHULZ4WRUXTYHHQB;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503053
02/06/2026;15:22:53;GMT;Renée Böhm;CWXZR301RAU26NCYV;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502708
02/06/2026;15:41:08;GMT;María Álvarez;8J7EY5HES4LDR625F;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-502815
02/06/2026;15:56:50;GMT;Agnès Rousseau;SDY07NRS1W1Z90BDT;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502452
02/06/2026;16:04:24;GMT;François Dubois;4XK2JXEDX9QGTQG7R;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-503786
02/06/2026;16:21:07;GMT;François Dubois;8TAJ4K58813ZJPNF7;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502756
02/06/2026;16:24:57;GMT;José García;KWH9687SXE9ZTU0M0;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502541
02/06/2026;16:35:31;GMT;François Dubois;XSWWN8PP2NEGFX5MC;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502320
02/06/2026;16:37:56;GMT;María Álvarez;35VB44TPX3P7YYTCG;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502786
02/06/2026;16:45:19;GMT;Jürgen Müller;PVZP6YGHPUJF4WJ0F;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502894
02/06/2026;16:59:31;GMT;Agnès Rousseau;8DCP70E15V8DU89VC;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-502303
02/06/2026;17:00:56;GMT;Jürgen Müller;6CBCJ98FK1VGFARCK;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502591
02/06/2026;17:13:26;GMT;Søren Kjær;9LHE2WNTHHTH21JLW;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503805
02/06/2026;17:36:06;GMT;Renée Böhm;E7VLVYPC3G66U4Q3P;;Website Payment;Denied;EUR;4,99;0,00;0,00;ORD-502648
02/06/2026;17:42:45;GMT;María Álvarez;6Y0NP3312B05VAZTQ;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503903
02/06/2026;18:15:10;GMT;María Álvarez;WTJ08EXDM4Y323SRY;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502108
02/06/2026;18:17:39;GMT;Émilie Laurent;B0D5GLJ8MZ8C2D0NQ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503307
02/06/2026;18:27:35;GMT;Agnès Rousseau;H2GLQUK0UZU3SBTE8;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503870
02/06/2026;18:29:47;GMT;Céline Marchand;Q1F3FUW7P7PN58PSH;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503884
02/06/2026;18:31:09;GMT;José García;K4CM7D2FXNRS3FFBQ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502810
02/06/2026;18:45:28;GMT;Jürgen Müller;501TYL3LTQV0YN30U;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-502881
02/06/2026;18:54:40;GMT;Jürgen Müller;GAK4QXRQALYYQ5UDS;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503767
02/06/2026;19:02:52;GMT;François Dubois;YB35QXS4U6458ZAEW;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502833
02/06/2026;19:06:42;GMT;Søren Kjær;6B3G2QXGU7NYAFTEZ;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503712
02/06/2026;19:08:50;GMT;Nuño Ibáñez;6P752VK4L2559AM56;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503292
02/06/2026;19:14:33;GMT;María Álvarez;KNZKNPCR023W9GHSN;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503423
02/06/2026;19:22:25;GMT;Søren Kjær;HPSEU860VAPZNXQFA;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502277
02/06/2026;19:57:07;GMT;José García;YE6QMKZALQ4AS2QTM;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502835
03/06/2026;07:19:12;GMT;Agnès Rousseau;PE1BN3YR9SHAN28G0;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503701
03/06/2026;07:46:02;GMT;Renée Böhm;HKY1UVNRSBSHP6M6H;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502504
03/06/2026;08:05:08;GMT;Nuño Ibáñez;CHW2FY3Y3RPU9HRAY;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502995
03/06/2026;08:52:30;GMT;Jürgen Müller;VYGHJ803Z9WMNWG5S;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502444
03/06/2026;08:53:20;GMT;Søren Kjær;VF36UWP0RU4WEZW64;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-503513
03/06/2026;09:19:22;GMT;François Dubois;V97XNDGM23BR1VYBQ;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502409
03/06/2026;09:26:56;GMT;José García;LUP2DHVXVH3CGGHG9;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-503888
03/06/2026;09:39:44;GMT;Émilie Laurent;89T3WBBBMSGKPTMNK;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502397
03/06/2026;09:43:21;GMT;Agnès Rousseau;FASXSA0HW05FHF0AW;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503126
03/06/2026;09:46:20;GMT;José García;S28HTDAJNF4H8BYQF;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502371
03/06/2026;09:50:37;GMT;Céline Marchand;BGWJM0QHSK3KVYQEP;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503567
03/06/2026;09:56:36;GMT;François Dubois;V1W9V9SA636HGAQB2;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502242
03/06/2026;10:04:05;GMT;Jürgen Müller;6LMMUYQLQ5Z5FZNYJ;;Website Payment;Completed;GBP;54,99;-1,89;53,10;ORD-503576
03/06/2026;10:16:18;GMT;Émilie Laurent;ANE3AXGYWUWWFA90P;;Website Payment;Denied;EUR;24,99;0,00;0,00;ORD-503492
03/06/2026;10:19:14;GMT;María Álvarez;QYD73PSVUZ9HGTHCL;;Website Payment;Denied;EUR;24,99;0,00;0,00;ORD-502454
03/06/2026;10:33:50;GMT;Émilie Laurent;YF99PKA82FN32TRYR;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502994
03/06/2026;10:46:41;GMT;Nuño Ibáñez;X84VNP9R0KSAKDB5P;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502487
03/06/2026;10:47:16;GMT;Nuño Ibáñez;3ZRLEDW25A9TX0CEG;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502394
03/06/2026;10:59:49;GMT;José García;KYJ1WCLTKJZA2CM8B;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503273
03/06/2026;11:12:28;GMT;José García;Q9HW59J9EM42YNDD3;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502590
03/06/2026;11:30:39;GMT;Nuño Ibáñez;R3N3M7NJJ1Y5DJQEN;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502153
03/06/2026;11:37:27;GMT;Nuño Ibáñez;NVAZ5B7JQ2YYVSRWQ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503224
03/06/2026;11:43:20;GMT;Émilie Laurent;MF7G0T1VW3RGAD9RT;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-503418
03/06/2026;11:49:51;GMT;Nuño Ibáñez;WLU4PG1LJS3G38DXJ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503709
03/06/2026;11:52:06;GMT;Nuño Ibáñez;EZL6UFYZ477SF3LVJ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502448
03/06/2026;11:53:30;GMT;Céline Marchand;RUT9H1ZBKCQWJAHG3;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503595
03/06/2026;11:57:01;GMT;Céline Marchand;6DXRG6GTPKWFHPDEN;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503816
03/06/2026;11:58:30;GMT;Émilie Laurent;6TVM9RY11PAJPQDG3;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503321
03/06/2026;12:03:56;GMT;Nuño Ibáñez;PME1G8PHTM6YZTBJA;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502865
03/06/2026;12:06:00;GMT;Jürgen Müller;KEQ6XZRPC6ZUN920F;;Website Payment;Denied;EUR;59,99;0,00;0,00;ORD-502703
03/06/2026;13:05:06;GMT;Søren Kjær;WRLB32LUTQ8XXREQL;;Website Payment;Completed;GBP;54,99;-1,89;53,10;ORD-503088
03/06/2026;13:24:44;GMT;Émilie Laurent;ZXSXA3LEQRAMU7FU5;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503397
03/06/2026;13:54:06;GMT;Émilie Laurent;ULV5QGY6YK9HS0PN4;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503263
03/06/2026;14:00:40;GMT;Agnès Rousseau;09RKHUVE46NWP02SZ;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502732
03/06/2026;14:26:22;GMT;François Dubois;NKQ4473AKYKNCC47F;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503419
03/06/2026;14:32:36;GMT;Agnès Rousseau;H87GCEXYTV6W5YWZX;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502925
03/06/2026;14:37:25;GMT;Søren Kjær;5Z5TTQBV8H68MTVL2;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502764
03/06/2026;14:44:47;GMT;Renée Böhm;KGMTA1AAM09AS8R59;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502866
03/06/2026;15:10:28;GMT;Nuño Ibáñez;Y7WGYQUMMNGDVT1ME;;Website Payment;Denied;EUR;24,99;0,00;0,00;ORD-503544
03/06/2026;15:11:02;GMT;Nuño Ibáñez;L7X32UFE4TEDURA5H;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502862
03/06/2026;15:27:08;GMT;Nuño Ibáñez;Y1MQ92W7AW2D0WSTE;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503092
03/06/2026;15:30:53;GMT;Céline Marchand;HAA7LL04PKFMS17XP;;Website Payment;Denied;EUR;59,99;0,00;0,00;ORD-503281
03/06/2026;15:41:32;GMT;François Dubois;21A8CD6GC8RDFY0CA;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502914
03/06/2026;15:55:18;GMT;François Dubois;Q204Y8J2ULH49DT33;;Website Payment;Denied;EUR;9,99;0,00;0,00;ORD-502496
03/06/2026;16:00:38;GMT;María Álvarez;0WRWHP7CS06RRK5SE;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502134
03/06/2026;16:45:33;GMT;Renée Böhm;449F4J8R52GN785NN;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502188
03/06/2026;17:30:30;GMT;Søren Kjær;RJVQ0E5S2QD4QS9R8;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502547
03/06/2026;17:51:01;GMT;José García;YUGMCY338XHKMD0H2;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503108
03/06/2026;18:04:33;GMT;Nuño Ibáñez;SLYZ3V7TW3YCEE5KQ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502427
03/06/2026;18:08:23;GMT;Søren Kjær;GFR2T4TU6706TPGY5;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502634
03/06/2026;18:27:17;GMT;François Dubois;T04GXYNWK052J06VV;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-503233
03/06/2026;18:37:02;GMT;Nuño Ibáñez;2JWBEVVYV6YGZKY8U;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502366
03/06/2026;18:37:15;GMT;Agnès Rousseau;YX0B37GEEPB9CWD3B;;Website Payment;Denied;GBP;4,49;0,00;0,00;ORD-502256
03/06/2026;19:04:35;GMT;Renée Böhm;NK7EEFQ86LAMMX76A;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503772
